,Problem_num,accuracy,tr_code_concat,gen_code_concat,true_code_size,gen_code_size,num_stims_seen,stims_seen,passed_tests,failed_tests,tr_code_full,gen_code_full,log_probs,true_accuracy,encoded
0,1,0.7777777777777778,color  ==  'red',(color == 'red' or shape == 'circle'),16,37,1,"[{'shape': 'circle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle')",-4.40589722428,9,0.0
0,1,0.7777777777777778,color  ==  'red',(color == 'red' or shape == 'circle'),16,37,1,"[{'shape': 'circle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle')",-4.4099020269799984,9,0.0
0,1,0.7777777777777778,color  ==  'red',(color == 'red' or shape == 'circle'),16,37,1,"[{'shape': 'circle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle')",-4.411799472929999,9,0.0
0,1,0.5555555555555556,color  ==  'red',((color == 'red' and shape == 'square') or (color == 'green' and shape == 'triangle') or (color == 'blue' and shape == 'circle')),16,129,1,"[{'shape': 'circle', 'color': 'red'}]","[""assert categorize('red', 'square') == True"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return ((color == 'red' and shape == 'square') or (color == 'green' and shape == 'triangle') or (color == 'blue' and shape == 'circle'))",-12.455680911069999,9,0.0
0,1,0.5555555555555556,color  ==  'red',((color == 'red' and shape == 'circle') or (color == 'green' and shape == 'square') or (color == 'blue' and shape == 'triangle')),16,129,1,"[{'shape': 'circle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return ((color == 'red' and shape == 'circle') or (color == 'green' and shape == 'square') or (color == 'blue' and shape == 'triangle'))",-13.317196554977318,9,0.0
1,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square'),16,58,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square')",-2.2180366714499997,9,0.0
1,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square'),16,58,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square')",-2.21886123315,9,0.0
1,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square'),16,58,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square')",-2.22087645635,9,0.0
1,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square'),16,58,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square')",-2.2215192198500007,9,0.0
1,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square'),16,58,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square')",-2.2216520946499996,9,0.0
