,Problem_num,accuracy,tr_code_concat,gen_code_concat,true_code_size,gen_code_size,num_stims_seen,stims_seen,passed_tests,failed_tests,tr_code_full,gen_code_full,log_probs,true_accuracy,encoded
0,1,0.7777777777777778,color  ==  'red',(color == 'red' or shape == 'circle'),16,37,1,"[{'shape': 'circle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle')",-4.411936967970001,9,0.0
0,1,0.7777777777777778,color  ==  'red',(color == 'red' or shape == 'circle'),16,37,1,"[{'shape': 'circle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle')",-4.412131577970001,9,0.0
0,1,0,color  ==  'red',((color == 'red' and shape == 'circle') or,16,42,1,"[{'shape': 'circle', 'color': 'red'}]",[],"[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return ((color == 'red' and shape == 'circle') or",0,9,0.0
0,1,1.0,color  ==  'red',color == 'red',16,14,1,"[{'shape': 'circle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",[],lambda x: x['color'] == 'red',"def categorize(color, shape):
	return color == 'red'",-4.931441309469999,9,0.0
0,1,0.3333333333333333,color  ==  'red',True,16,4,1,"[{'shape': 'circle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return True",-3.3361077519999998,9,0.0
1,1,0.7777777777777778,color  ==  'red',(color == 'red' or shape == 'square'),16,37,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square')",-3.4783915001000003,9,0.0
1,1,0.7777777777777778,color  ==  'red',(color == 'red' or shape == 'square'),16,37,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square')",-3.480393771030001,9,0.0
1,1,0.8888888888888888,color  ==  'red',((color == 'red' and shape == 'circle') or (color == 'red' and shape == 'square')),16,82,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('red', 'triangle') == True""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return ((color == 'red' and shape == 'circle') or (color == 'red' and shape == 'square'))",-6.1590189614999975,9,0.0
1,1,0.8888888888888888,color  ==  'red',((color == 'red' and shape == 'circle') or (color == 'red' and shape == 'square')),16,82,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('red', 'triangle') == True""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return ((color == 'red' and shape == 'circle') or (color == 'red' and shape == 'square'))",-6.177311014799998,9,0.0
1,1,0.4444444444444444,color  ==  'red',(shape == 'circle' or shape == 'square'),16,40,2,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (shape == 'circle' or shape == 'square')",-6.1844224957,9,0.0
